Invoice_ID,Vendor_Name,Vendor_ID,Category,Invoice_Date,Payment_Date,Currency,Invoice_Amount,Tax,Total_Amount,Payment_Status,Cost_Center,Description
INV-00071,Capex Solutions Ltd,V-008,Utilities,2024-04-01,2024-04-13,USD,6096.23,487.7,6583.93,Paid,CC-019,Purchase
INV-PEER-00,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-01,2024-05-01,USD,1188.0,95.04,1283.04,Paid,CC-013,Peer baseline line
INV-PEER-01,Gamma Supply Ltd,V-001,Raw Materials,2024-04-02,2024-05-02,USD,1190.0,95.2,1285.2,Paid,CC-018,Peer baseline line
INV-00072,Pacific Packaging,V-005,Facilities,2024-04-03,2024-04-10,USD,5865.21,469.22,6334.43,Paid,CC-002,Purchase
INV-PEER-02,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-03,2024-05-03,USD,1192.0,95.36,1287.36,Paid,CC-005,Peer baseline line
INV-00061,Gamma Supplies Ltd,V-001,MRO,2024-04-04,2024-04-22,USD,5895.52,471.64,6367.16,Paid,CC-020,Purchase
INV-00064,Pacific Packaging,V-005,MRO,2024-04-04,2024-04-15,USD,7186.2,574.9,7761.1,Paid,CC-007,Purchase
INV-PEER-03,Gamma Supply Ltd,V-001,Raw Materials,2024-04-04,2024-05-04,USD,1194.0,95.52,1289.52,Paid,CC-017,Peer baseline line
INV-PEER-04,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-05,2024-05-05,USD,1196.0,95.68,1291.68,Paid,CC-002,Peer baseline line
INV-00066,Sterling MRO Co,V-003,Capex,2024-04-05,2024-04-20,USD,5646.61,451.73,6098.34,Paid,CC-001,Purchase
INV-PEER-05,Gamma Supply Ltd,V-001,Raw Materials,2024-04-06,2024-05-06,USD,1198.0,95.84,1293.84,Paid,CC-005,Peer baseline line
INV-00070,Northwind Logistics Inc,V-002,Facilities,2024-04-07,2024-04-24,USD,3414.9,273.19,3688.09,Paid,CC-012,Purchase
INV-PEER-06,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-07,2024-05-07,USD,1200.0,96.0,1296.0,Paid,CC-011,Peer baseline line
INV-PEER-07,Gamma Supply Ltd,V-001,Raw Materials,2024-04-08,2024-05-08,USD,1202.0,96.16,1298.16,Paid,CC-002,Peer baseline line
INV-PEER-08,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-09,2024-05-09,USD,1204.0,96.32,1300.32,Paid,CC-018,Peer baseline line
INV-PEER-09,Gamma Supply Ltd,V-001,Raw Materials,2024-04-10,2024-05-10,USD,1206.0,96.48,1302.48,Paid,CC-018,Peer baseline line
INV-00059,Sterling MRO Co,V-003,IT Services,2024-04-10,2024-04-25,USD,6257.08,500.57,6757.65,Paid,CC-016,Purchase
INV-00068,Vertex IT Services,V-006,IT Services,2024-04-11,2024-04-28,USD,2576.28,206.1,2782.38,Paid,CC-011,Purchase
INV-PEER-10,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-11,2024-05-11,USD,1208.0,96.64,1304.64,Paid,CC-011,Peer baseline line
INV-PEER-11,Gamma Supply Ltd,V-001,Raw Materials,2024-04-12,2024-05-12,USD,1210.0,96.8,1306.8,Paid,CC-007,Peer baseline line
INV-00067,Vertex IT Services,V-006,Raw Materials,2024-04-12,2024-04-28,USD,2733.03,218.64,2951.67,Paid,CC-011,Purchase
INV-PEER-12,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-13,2024-05-13,USD,1212.0,96.96,1308.96,Paid,CC-002,Peer baseline line
INV-00062,Harbor Facilities Group,V-007,MRO,2024-04-13,2024-04-23,USD,1950.75,156.06,2106.81,Paid,CC-005,Purchase
INV-PEER-13,Gamma Supply Ltd,V-001,Raw Materials,2024-04-14,2024-05-14,USD,1214.0,97.12,1311.12,Paid,CC-013,Peer baseline line
INV-PEER-14,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-15,2024-05-15,USD,1216.0,97.28,1313.28,Paid,CC-011,Peer baseline line
INV-00069,Vertex IT Services,V-006,Facilities,2024-04-15,2024-04-20,USD,6661.2,532.9,7194.1,Paid,CC-010,Purchase
INV-PEER-15,Gamma Supply Ltd,V-001,Raw Materials,2024-04-16,2024-05-16,USD,1218.0,97.44,1315.44,Paid,CC-016,Peer baseline line
INV-PEER-16,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-17,2024-05-17,USD,1220.0,97.6,1317.6,Paid,CC-013,Peer baseline line
INV-00065,Capex Solutions Ltd,V-008,Logistics,2024-04-17,2024-04-25,USD,2099.27,167.94,2267.21,Paid,CC-004,Purchase
INV-DRIFT-OUT,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-18,2024-05-02,USD,3820.0,305.6,4125.6,Paid,CC-020,Inflated vs peers (planted drift)
INV-PEER-17,Gamma Supply Ltd,V-001,Raw Materials,2024-04-18,2024-05-18,USD,1222.0,97.76,1319.76,Paid,CC-003,Peer baseline line
INV-PEER-18,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-19,2024-05-19,USD,1224.0,97.92,1321.92,Paid,CC-003,Peer baseline line
INV-PEER-19,Gamma Supply Ltd,V-001,Raw Materials,2024-04-20,2024-05-20,USD,1226.0,98.08,1324.08,Paid,CC-016,Peer baseline line
INV-PEER-20,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-21,2024-05-21,USD,1228.0,98.24,1326.24,Paid,CC-004,Peer baseline line
INV-00058,Gridline Utilities LLC,V-004,Packaging,2024-04-22,2024-04-28,USD,2292.79,183.42,2476.21,Paid,CC-003,Purchase
INV-PEER-21,Gamma Supply Ltd,V-001,Raw Materials,2024-04-22,2024-05-22,USD,1230.0,98.4,1328.4,Paid,CC-019,Peer baseline line
INV-PEER-22,Gamma Supplies Ltd,V-001,Raw Materials,2024-04-23,2024-05-23,USD,1232.0,98.56,1330.56,Paid,CC-003,Peer baseline line
INV-00075,Vertex IT Services,V-006,Packaging,2024-04-23,2024-04-28,USD,6126.25,490.1,6616.35,Paid,CC-007,Purchase
INV-00073,Gridline Utilities LLC,V-004,Facilities,2024-04-23,2024-04-28,USD,3070.65,245.65,3316.3,Paid,CC-017,Purchase
INV-00063,Capex Solutions Ltd,V-008,Packaging,2024-04-24,2024-04-28,USD,6327.06,506.16,6833.22,Paid,CC-010,Purchase
INV-PEER-23,Gamma Supply Ltd,V-001,Raw Materials,2024-04-24,2024-05-24,USD,1234.0,98.72,1332.72,Paid,CC-015,Peer baseline line
INV-00076,Pacific Packaging,V-005,Facilities,2024-04-24,2024-04-28,USD,5758.3,460.66,6218.96,Paid,CC-008,Purchase
INV-00060,Pacific Packaging,V-005,Facilities,2024-04-24,2024-04-28,USD,5798.77,463.9,6262.67,Paid,CC-009,Purchase
INV-00074,Capex Solutions Ltd,V-008,Logistics,2024-04-27,2024-04-28,USD,2087.04,166.96,2254.0,Paid,CC-016,Purchase
INV-00087,Capex Solutions Ltd,V-008,Facilities,2024-05-02,2024-05-08,USD,3258.9,260.71,3519.61,Paid,CC-011,Purchase
INV-00077,Vertex IT Services,V-006,Packaging,2024-05-02,2024-05-09,USD,6167.41,493.39,6660.8,Paid,CC-009,Purchase
INV-00084,Pacific Packaging,V-005,Packaging,2024-05-03,2024-05-19,USD,2952.63,236.21,3188.84,Paid,CC-002,Purchase
INV-00088,Pacific Packaging,V-005,Logistics,2024-05-05,2024-05-10,USD,4974.11,397.93,5372.04,Paid,CC-012,Purchase
INV-00081,Gridline Utilities LLC,V-004,Capex,2024-05-06,2024-05-27,USD,6687.43,534.99,7222.42,Paid,CC-012,Purchase
INV-00079,Vertex IT Services,V-006,MRO,2024-05-07,2024-05-17,USD,3999.75,319.98,4319.73,Paid,CC-016,Purchase
INV-00094,Sterling MRO Co,V-003,IT Services,2024-05-10,2024-05-21,USD,6283.02,502.64,6785.66,Paid,CC-004,Purchase
INV-00092,Vertex IT Services,V-006,Packaging,2024-05-12,2024-05-21,USD,6325.87,506.07,6831.94,Paid,CC-014,Purchase
INV-00078,Gridline Utilities LLC,V-004,Logistics,2024-05-12,2024-05-27,USD,3104.94,248.4,3353.34,Paid,CC-008,Purchase
INV-00090,Harbor Facilities Group,V-007,Capex,2024-05-14,2024-05-21,USD,3110.67,248.85,3359.52,Paid,CC-019,Purchase
INV-00095,Capex Solutions Ltd,V-008,Logistics,2024-05-15,2024-05-28,USD,2100.82,168.07,2268.89,Paid,CC-015,Purchase
INV-00086,Harbor Facilities Group,V-007,Utilities,2024-05-17,2024-05-28,USD,3968.85,317.51,4286.36,Paid,CC-016,Purchase
INV-00082,Pacific Packaging,V-005,IT Services,2024-05-18,2024-05-23,USD,3482.92,278.63,3761.55,Paid,CC-005,Purchase
INV-00089,Gridline Utilities LLC,V-004,Utilities,2024-05-20,2024-05-28,USD,6268.68,501.49,6770.17,Paid,CC-019,Purchase
INV-00091,Harbor Facilities Group,V-007,Raw Materials,2024-05-20,2024-05-26,USD,5787.97,463.04,6251.01,Paid,CC-010,Purchase
INV-MATH-01,Sterling MRO Co,V-003,MRO,2024-05-22,2024-05-30,USD,888.0,71.04,961.04,Paid,CC-014,Small total mismatch (planted)
INV-00093,Vertex IT Services,V-006,MRO,2024-05-23,2024-05-28,USD,4041.88,323.35,4365.23,Paid,CC-013,Purchase
INV-00083,Pacific Packaging,V-005,Packaging,2024-05-25,2024-05-28,USD,2972.34,237.79,3210.13,Paid,CC-020,Purchase
INV-00080,Capex Solutions Ltd,V-008,Packaging,2024-05-25,2024-05-28,USD,6448.28,515.86,6964.14,Paid,CC-007,Purchase
INV-00085,Pacific Packaging,V-005,Facilities,2024-05-26,2024-05-28,USD,5664.44,453.16,6117.6,Paid,CC-004,Purchase
INV-00104,Harbor Facilities Group,V-007,Raw Materials,2024-06-03,2024-06-08,USD,6048.2,483.86,6532.06,Paid,CC-014,Purchase
INV-00113,Gamma Supplies Ltd,V-001,Logistics,2024-06-03,2024-06-22,USD,3638.03,291.04,3929.07,Paid,CC-011,Purchase
INV-00099,Sterling MRO Co,V-003,IT Services,2024-06-04,2024-06-11,USD,6385.32,510.83,6896.15,Paid,CC-010,Purchase
INV-00106,Northwind Logistics Inc,V-002,Utilities,2024-06-04,2024-06-09,USD,6133.6,490.69,6624.29,Paid,CC-019,Purchase
INV-00097,Sterling MRO Co,V-003,IT Services,2024-06-04,2024-06-16,USD,6335.32,506.83,6842.15,Paid,CC-014,Purchase
INV-00107,Sterling MRO Co,V-003,Packaging,2024-06-05,2024-06-11,USD,1956.52,156.52,2113.04,Paid,CC-017,Purchase
INV-00101,Gridline Utilities LLC,V-004,MRO,2024-06-09,2024-06-22,USD,7309.13,584.73,7893.86,Paid,CC-001,Purchase
INV-WEEKEND,Harbor Facilities Group,V-007,Facilities,2024-06-15,2024-06-20,USD,1840.0,147.2,1987.2,Paid,CC-002,Weekend-dated invoice
INV-00114,Capex Solutions Ltd,V-008,Packaging,2024-06-17,2024-06-23,USD,6310.67,504.85,6815.52,Paid,CC-013,Purchase
INV-00112,Vertex IT Services,V-006,Capex,2024-06-18,2024-06-28,USD,6536.78,522.94,7059.72,Paid,CC-015,Purchase
INV-00103,Gridline Utilities LLC,V-004,Facilities,2024-06-19,2024-06-28,USD,3192.87,255.43,3448.3,Paid,CC-016,Purchase
INV-00100,Pacific Packaging,V-005,Raw Materials,2024-06-19,2024-06-28,USD,1865.85,149.27,2015.12,Paid,CC-017,Purchase
INV-00110,Harbor Facilities Group,V-007,IT Services,2024-06-19,2024-06-28,USD,5491.75,439.34,5931.09,Paid,CC-001,Purchase
INV-00111,Gridline Utilities LLC,V-004,Logistics,2024-06-19,2024-06-28,USD,3067.03,245.36,3312.39,Paid,CC-011,Purchase
INV-00096,Gridline Utilities LLC,V-004,Logistics,2024-06-20,2024-06-28,USD,3133.93,250.71,3384.64,Paid,CC-019,Purchase
INV-00098,Capex Solutions Ltd,V-008,Raw Materials,2024-06-20,2024-06-28,USD,3682.03,294.56,3976.59,Paid,CC-003,Purchase
INV-00108,Pacific Packaging,V-005,Facilities,2024-06-22,2024-06-28,USD,5693.61,455.49,6149.1,Paid,CC-017,Purchase
INV-00105,Northwind Logistics Inc,V-002,Packaging,2024-06-24,2024-06-28,USD,2361.48,188.92,2550.4,Paid,CC-005,Purchase
INV-00102,Sterling MRO Co,V-003,Capex,2024-06-25,2024-06-28,USD,5838.27,467.06,6305.33,Paid,CC-003,Purchase
INV-00109,Northwind Logistics Inc,V-002,Raw Materials,2024-06-27,2024-06-28,USD,5694.32,455.55,6149.87,Paid,CC-003,Purchase
INV-00133,Gridline Utilities LLC,V-004,Logistics,2024-07-02,2024-07-21,USD,3096.56,247.72,3344.28,Paid,CC-019,Purchase
INV-00132,Harbor Facilities Group,V-007,IT Services,2024-07-02,2024-07-18,USD,5341.25,427.3,5768.55,Paid,CC-007,Purchase
INV-00131,Gridline Utilities LLC,V-004,Utilities,2024-07-02,2024-07-08,USD,6141.32,491.31,6632.63,Paid,CC-018,Purchase
INV-00125,Sterling MRO Co,V-003,Utilities,2024-07-03,2024-07-19,USD,4440.78,355.26,4796.04,Paid,CC-008,Purchase
INV-00116,Northwind Logistics Inc,V-002,MRO,2024-07-03,2024-07-15,USD,5307.28,424.58,5731.86,Paid,CC-020,Purchase
INV-00118,Pacific Packaging,V-005,Utilities,2024-07-04,2024-07-19,USD,5283.48,422.68,5706.16,Paid,CC-007,Purchase
INV-00120,Capex Solutions Ltd,V-008,Logistics,2024-07-05,2024-07-23,USD,2056.85,164.55,2221.4,Paid,CC-009,Purchase
INV-00123,Gridline Utilities LLC,V-004,Packaging,2024-07-05,2024-07-18,USD,2339.07,187.13,2526.2,Paid,CC-017,Purchase
INV-00117,Pacific Packaging,V-005,Utilities,2024-07-07,2024-07-24,USD,5241.63,419.33,5660.96,Paid,CC-018,Purchase
INV-00119,Gridline Utilities LLC,V-004,Capex,2024-07-07,2024-07-24,USD,6703.09,536.25,7239.34,Paid,CC-009,Purchase
INV-00122,Sterling MRO Co,V-003,Raw Materials,2024-07-09,2024-07-28,USD,6995.96,559.68,7555.64,Paid,CC-013,Purchase
INV-DUP-B1A,Sterling MRO Co,V-003,MRO,2024-07-10,2024-07-19,USD,2500.0,200.0,2700.0,Paid,CC-004,Bearings batch B — dup
INV-DUP-B1,Sterling MRO Co,V-003,MRO,2024-07-10,2024-07-18,USD,2500.0,200.0,2700.0,Paid,CC-002,Bearings batch B
INV-00127,Pacific Packaging,V-005,MRO,2024-07-10,2024-07-25,USD,7173.04,573.84,7746.88,Paid,CC-004,Purchase
INV-00115,Gamma Supplies Ltd,V-001,MRO,2024-07-13,2024-07-28,USD,6031.11,482.49,6513.6,Paid,CC-009,Purchase
INV-00124,Northwind Logistics Inc,V-002,Facilities,2024-07-16,2024-07-28,USD,3426.6,274.13,3700.73,Paid,CC-001,Purchase
INV-00128,Gridline Utilities LLC,V-004,Capex,2024-07-17,2024-07-28,USD,6590.56,527.24,7117.8,Paid,CC-011,Purchase
INV-00126,Pacific Packaging,V-005,Capex,2024-07-19,2024-07-28,USD,6578.11,526.25,7104.36,Paid,CC-014,Purchase
INV-00130,Pacific Packaging,V-005,MRO,2024-07-22,2024-07-28,USD,7005.8,560.46,7566.26,Paid,CC-017,Purchase
INV-00129,Harbor Facilities Group,V-007,Packaging,2024-07-23,2024-07-28,USD,6996.76,559.74,7556.5,Paid,CC-015,Purchase
INV-00121,Capex Solutions Ltd,V-008,Utilities,2024-07-27,2024-07-28,USD,6118.04,489.44,6607.48,Paid,CC-019,Purchase
INV-00138,Vertex IT Services,V-006,MRO,2024-08-01,2024-08-21,USD,3905.3,312.42,4217.72,Paid,CC-011,Purchase
INV-THRESH,Gridline Utilities LLC,V-099,Utilities,2024-08-01,2024-08-10,USD,50240.0,4019.2,54259.2,Paid,CC-018,Near approval tier (control signal)
INV-00144,Gamma Supplies Ltd,V-001,Packaging,2024-08-07,2024-08-28,USD,3463.04,277.04,3740.08,Paid,CC-012,Purchase
INV-00143,Capex Solutions Ltd,V-008,Logistics,2024-08-07,2024-08-28,USD,2023.19,161.86,2185.05,Paid,CC-019,Purchase
INV-00145,Vertex IT Services,V-006,Utilities,2024-08-08,2024-08-17,USD,6306.0,504.48,6810.48,Paid,CC-017,Purchase
INV-00149,Pacific Packaging,V-005,IT Services,2024-08-10,2024-08-25,USD,3503.08,280.25,3783.33,Paid,CC-009,Purchase
INV-00148,Pacific Packaging,V-005,Facilities,2024-08-10,2024-08-21,USD,5868.39,469.47,6337.86,Paid,CC-010,Purchase
INV-00139,Gridline Utilities LLC,V-004,Logistics,2024-08-12,2024-08-28,USD,3073.44,245.88,3319.32,Paid,CC-019,Purchase
INV-00135,Northwind Logistics Inc,V-002,Capex,2024-08-14,2024-08-26,USD,5399.46,431.96,5831.42,Paid,CC-011,Purchase
INV-00151,Pacific Packaging,V-005,Utilities,2024-08-14,2024-08-21,USD,5176.34,414.11,5590.45,Paid,CC-001,Purchase
INV-00150,Capex Solutions Ltd,V-008,MRO,2024-08-16,2024-08-28,USD,5670.53,453.64,6124.17,Paid,CC-007,Purchase
INV-00140,Capex Solutions Ltd,V-008,Facilities,2024-08-16,2024-08-28,USD,3299.29,263.94,3563.23,Paid,CC-020,Purchase
INV-00146,Harbor Facilities Group,V-007,IT Services,2024-08-18,2024-08-28,USD,5440.76,435.26,5876.02,Paid,CC-014,Purchase
INV-00147,Harbor Facilities Group,V-007,IT Services,2024-08-20,2024-08-28,USD,5281.17,422.49,5703.66,Paid,CC-015,Purchase
INV-00142,Gamma Supplies Ltd,V-001,IT Services,2024-08-21,2024-08-28,USD,4287.36,342.99,4630.35,Paid,CC-010,Purchase
INV-00137,Harbor Facilities Group,V-007,Packaging,2024-08-21,2024-08-28,USD,6922.87,553.83,7476.7,Paid,CC-019,Purchase
INV-00134,Gamma Supplies Ltd,V-001,Utilities,2024-08-23,2024-08-28,USD,6639.64,531.17,7170.81,Paid,CC-004,Purchase
INV-00141,Vertex IT Services,V-006,Logistics,2024-08-23,2024-08-28,USD,3534.78,282.78,3817.56,Paid,CC-007,Purchase
INV-00152,Gridline Utilities LLC,V-004,Facilities,2024-08-25,2024-08-28,USD,3153.95,252.32,3406.27,Paid,CC-004,Purchase
INV-00136,Capex Solutions Ltd,V-008,Raw Materials,2024-08-27,2024-08-28,USD,3649.79,291.98,3941.77,Paid,CC-007,Purchase
INV-00161,Capex Solutions Ltd,V-008,Packaging,2024-09-01,2024-09-08,USD,6404.9,512.39,6917.29,Paid,CC-006,Purchase
INV-00167,Harbor Facilities Group,V-007,Packaging,2024-09-01,2024-09-23,USD,6946.28,555.7,7501.98,Paid,CC-015,Purchase
INV-00166,Sterling MRO Co,V-003,Facilities,2024-09-02,2024-09-25,USD,4563.3,365.06,4928.36,Paid,CC-014,Purchase
INV-00164,Harbor Facilities Group,V-007,Packaging,2024-09-03,2024-09-18,USD,6871.5,549.72,7421.22,Paid,CC-017,Purchase
INV-00155,Pacific Packaging,V-005,Raw Materials,2024-09-05,2024-09-24,USD,1849.37,147.95,1997.32,Paid,CC-011,Purchase
